,Tweets ,Sentiment,City
,it is protecting girls from all the abuse and girls are leading safe life here,1,delhi
,it good place and have good work environment people spread happiness here,1,kolkata
,it is best place to have and girls are leading great life,1,Pune
,it is not safegaurded and women llife is horrible,2,chennai
,it is terrific to live here for girl and children as they are not safe and crimes are also increasing and very worst situations,2,mumbai
,the misery over there for women because of the harrassment near hostels and people are so horrible,2,delhi
,women are facing lot of threat here and life is so difficult,2,chennai
,it not secure life for girls,2,kolkata
,it is great life for children and women to lead,1,Pune
,it is suked life where people are always abusing and commenting on other life,2,mumbai
,it awesome to live and have a good work culture,1,delhi
,the bad environment and worst life style of people to lead and always unsupportive,2,kolkata
,the people are supportive and awesome to work with,1,chennai
,the need of security is still here as there is lot of abuse,2,Pune
,it is harmless for people to live,1,Pune
,it has pleasant environment for girls to work and have freedom to work,1,delhi
,the worst behaviour of youth here,2,chennai
,the risky life here people are very bad and irresponsible,2,kolkata
,the people are cheaters here and youth is so bad and do not have any respect for women,2,mumbai
,it is safe for women to lead their life,1,mumbai
,the work environment is good here and people are happy and women are also safe here,1,chennai
,the great life of children and girls and crimes also decreasing which shows girls are secure,1,delhi
,the youth are responsible here and do not require any protection and are safe here,1,kolkata
,people are good and children and women have freedom in their life to achieve anything,1,Pune
,the crime rate is also increasing and abuse for girla also increasing,2,mumbai
,the sucked life of girls here,2,chennai
,the unpleasant behaviour of youth shows the unsafety for girls,2,delhi
,the harmful environment here and women have to be protected,2,kolkata
,the miserable condition of girls here in work environment and abuse is also existing,2,Pune
,the pleasant life of people no abuse or harassement for girls,1,Pune
,the great life for girls and women,1,delhi
,the pleasant environment for people to live and youth are also calm and understanding,1,chennai
,girls lead awesome life here and freedom for carrer choice also exist,1,mumbai
,the rashness of youth and abuse for girls,2,kolkata
,the horrible life for working women,2,kolkata
,the girls are terrified by youth activities around them in the localities,2,Pune
,the carelessness of people in this city which is very difficult to tolerate,2,delhi
,the need of protection has been decreased and women are safe here,1,chennai
,the security has been increasing for women because youth is also responsible and good,1,mumbai
,the environment is safe for girls and children,1,mumbai
,the work culture is also good,1,delhi
,the people over there are secure and leading happy life,1,chennai
,the harshness of people for girls and women is being increasing which has to be ceased,2,kolkata
,the unpleasant behaviour of people leads to difficult to live,2,Pune
,the harassment for women did not decrease and girls are suffering a lot,2,delhi
,the harassment for women did not decrease and girls are suffering a lot,2,chennai
,the place has developed a lot in case of work culture and good for women,1,mumbai
,the harassement has been increasing,2,kolkata
,the abuse and harassement doesnot exist and it is safe for women ,1,Pune
,some good to safe,1,mumbai
, safest city for women nice to work and much better safe ,1,Pune
, in recent times is harmful in some way,2,kolkata
, asusual poisonous city to livein,2,chennai
, a good place to live in and enjoy the environment around,1,delhi
, not secure to live and have a life,2,Pune
,people are fair enough ,1,delhi
, people are not so trustworthy to believe and the life over there is not relatable to others,2,mumbai
,the trust for people has been increasing on youth and women are also respected for their work,1,chennai
,the harassement is increasing and it need to be stopped,2,kolkata
,the abuse for girls has ended and women are being respected,1,Pune
,the secure life for girls,1,delhi
,people are fair enough and hard working,1,chennai
,the need of protection for girls still exists because of harshness of people,2,mumbai
,the behaviour of youth towars women has changed and are respecting the women whiich has good place to live,1,kolkata
,the carelessness of youth towards girls,2,Pune
,the life is risky and terrible,2,Pune
,the misery do not end for women here,2,chennai
,the life is easy going and people are supportive here,1,delhi
,the miserable life of girls because of abusing is increasing,2,mumbai
,the safety for girls exist,1,kolkata
,the unpleasant nature of youth towards girls,2,kolkata
,the place is secure and good,1,mumbai
,the necessity of protection still exist here,2,chennai
,the harmful behaviuor needs to be ceased and girls are facing lot of problems,2,delhi
,the harmless behaviour and safe for girls to live here,1,delhi
,life is toxic and difficult and women donot have safety and crime rate is increasing in the city,2,chennai
, harmless for women in the society and recent times it showing the incline in the city work culture and youth are also responsible,1,mumbai
, ofcourse a city where life is risky and difficult to lead and crimes are also being regarded in the region ,2,pune
, place where freedom exist to do they are interested in which is also safe in it,1,kolkata
, it is safest to work and work culture is so friendly so it is easy to habituate,1,kolkata
,deadly place for working and having a peaceful life it is so difficult to work in such a city,2,pune
, is safest city for women nice to work and much better safe,1,pune
, it is safest to work and work culture is so friendly so it is easy to habituate,1,mumbai
, people are innocent and fare enought to understand the situation in people life,1,chennai
, trusty people to survive around and people help others to overcome their problems and have the happy life,1,delhi
, harmless for women and children and good place,1,kolkata
,harmul behaviour towards girls,2,mumbai
,unpleasant nature of youth towards girls,2,delhi
,girls are safe and good in this area,1,kolkata
,girls are secure and harmless and people are very suppotive here,1,Pune
,women are facing abuse,2,chennai
,women are facing lot of abuse and harassing girls,2,mumbai
,the youth are responsible and supportive for women so they  are safe ,1,delhi
,the women are having good life and pleasant behaviour,1,chennai
,women are safe ,1,kolkata
,people are fare enough and understanding,1,Pune
,women are leading secured life,1,mumbai
,people are very terible and girls are facing lot of abuse,2,delhi
,the misery for girls do not end and are facing lot of difficulties,2,kolkata
,the girls and children are safe,1,mumbai
,the protection and safety exist here and women can stay calm and happy life here,1,Pune
,the girls are terrified by youth activities around them in the localities,2,chennai
,the girls are having freedom for both career choice and safety against all these odds,1,kolkata
,deadly place for working and having a peaceful life it is so difficult to work in such a city,2,mumbai
,youth are also degrading here and no safety for women,2,Pune
,safest city for women nice to work and much better safe ,2,delhi
,able to protect girls,1,chennai
,in recent times is harmful in some way,2,mumbai
,asusual poisonous city to livein,2,kolkata
,good place to live in and enjoy the environment around,1,Pune
, trusty for girls to work in ,1,mumbai
, not secure to live and have a life,2,Pune
, not secure to live and have a life,2,delhi
,considered safe in case of work atmosphere,1,chennai
, regarded as place where freedom exist to do they are interested in which is also safe in it,1,kolkata
, people are innocent and fare enought to understand the situation in people life,1,mumbai
, work culture is also so easy which makes life so fine,1,delhi
,ofcourse a city where life is risky and difficult to lead and crimes are also being regarded in the region,2,chennai
,place where people have  protection against all this and people support each other in hard times to have a happy background,1,kolkata
,safest to work and work culture is so friendly so it is easy to habituate,1,Pune
, people are not so trustworthy to believe and the life over there is not relatable to others,2,Pune
,lives are horrible and miserable to spend,2,delhi
,secure place for lives and crime rate is also decreasinng which include it is being harmless for people to live ,1,kolkata
,deadly place for working and having a peaceful life it is so difficult to work in such a city,2,mumbai
,people are innocent and easygoing to cope all the things with,1,chennai
,life is miserable for girls because lot of harrasement in the areas where hostels exist,2,mumbai
, trusty people to survive around and people help others to overcome their problems and have the happy life ,1,chennai
,life is toxic and difficult and women donot have safety and crime rate is increasing in the city,2,delhi
,harmless for women and children and good place,1,delhi
, safest city for women nice to work and much better safe,1,kolkata
,people are very easy going and women are safe,1,Pune
,women are secured life here,1,Pune
,girls are facing lot of violence it has to be stopped,2,kolkata
,children and women are proteted and leading good life,1,mumbai
,girls are having awesome work culture and safe life,1,chennai
,the youth are being responsible and needed to be supportive and women are leading happy life,1,chennai
,girls are facing lot of violence it has to be stopped,2,mumbai
,girls are being threatned and violence is increasing ganist women,2,kolkata
,ofcourse a city where life is risky and difficult to lead and crimes are also being regarded in the region,2,Pune
,environment is safe for both girls and children,1,Pune
,safest place for women to work,1,mumbai
,people are innocent and responsible and women are safe,1,chennai
,considered safe in case of work atmosphere,1,delhi
,work culture is also good and girls are increasing their standards in life,1,kolkata
,people are trust worthy and women can rely on them,1,mumbai
,lives are horrible and miserable to spend,2,delhi
,terrible violence exist and women are not safe,2,chennai
,people are toxic and poisonous so girls are facing abuse,2,kolkata
,people are easygoing and supportive and women are safe,1,Pune
,women are safe ,1,Pune
,people are innocent and women are having secured life,1,Pune
, ofcourse it is highly safer than other cities of india for women,1,kolkata
,it is not secure place for girls to live and lead their environment is also not so safe to live in,2,mumbai
,it is safest city for women to lead their life and much better place to work and safety exist here,1,delhi
,it is considered that women are facing few problems but there is protection for girls and safety is increasing in girls case ,1,chennai
,it is some what better place and safe in case of work environment and people respect the work culture they have and life is easy and happy,1,delhi
,women and children are facing little abuse and it has to changed and action has to be taken so that it doesnot repeat,2,chennai
,it is protecting girls from all the abuse and girls are leading safe life here,1,mumbai
,it good place and have good work environment people spread happiness here,1,kolkata
,it is best place to have and girls are leading great life,1,Pune
,it is not safegaurded and women life is horrible,2,delhi
,people are generous enough to women and they respect women for their work,1,chennai
,the transport system here is also safe foe  women ,1,mumbai
,it is best place for girls and children for studies,1,kolkata
,the work culture is also good and women are safe,1,Pune
,women are having miseries and life is full of difficulties due to violence they are facing,2,delhi
,the joyful atmosphere here leads to happy and safe atmosphere for girls,1,Pune
,the rules are followed very strictly girls are protected against all the abuse,1,kolkata
,it is not good place for girls to lead life,2,mumbai
,it provides many safety measures for women and it is secure for them,1,chennai
,it is great place for studies for women and work environment is also good,1,delhi
,women are given respect and people around them are supportive ,1,chennai
,people here are fair enough to believe,1,mumbai
,people here are friendly so it is easy for girls to habituate and lead their life,1,kolkata
,educational institutes are strict and support girls and encourage them to have a goodlife,1,Pune
,protection and security exist for girls in this area,1,Pune
,the violence women are facing due to irresponsible people,2,kolkata
,the harassement is not decreasing for women here,2,mumbai
,the harshness of people for girls and women is being increasing which has to be ceased,2,chennai
,the cruelty of people is increasing so strict actions need to be taken,2,delhi
,the rashness of youth and abuse for girls,2,delhi
,the carelessness of people and irresponsible behaviour for girls in work environment,2,chennai
,the need of safety is not necessary beacause people have changed in good terms and they are behaving responsibily and girls are leading secure life,1,mumbai
,the women are leading happy life ,1,kolkata
,the pleasant behaviour of people for women shows the positiveness of youth ,1,kolkata
,the awesome life of women and they have freedom to choose everything in life,1,Pune
,girls are not having good life lot of abuse,2,Pune
,the atmosphere of work does not respect women it just degrades women,2,kolkata
,the transportation facility is also safe for girls,1,chennai
,people are calm and responsible so women are safe,1,delhi
,women can lead good life,1,mumbai
,youth is also supportive for women or girls in work environment,1,delhi
,the environment around is safe and good for girls and children,1,chennai
,the increase of safety gives strength for women to work in this area ,1,mumbai
,people are cruel and threatning women,2,kolkata
,threats are existing and women are facing violence,2,Pune
,cruelty is increasing so women facing abuse and lot of violence,2,delhi
,the work culture is safe for girls,1,chennai
,the supportive and responsible people over here makes life easy for women,1,mumbai
,the protection and safety exist here and women can stay calm and happy life here,1,kolkata
,the great life for women here and support of people,1,Pune
,the protection exist for girls and children,1,delhi
,the happy life for women and safe life,1,chennai
,women are havind secured life,1,mumbai
,women are facing lot of miseries and terrible life here,2,Pune
,the worst behaviour of people and thoughts for women,2,kolkata
,the women are facing lot of violence and terible things over here,2,mumbai
,the people are supportive so it is easy women ,1,kolkata
,people are very cruel and women are not leading good life,2,chennai
,supportive attitude of people for women makes it more safe,1,Pune
,the attitude of people towards women is also better and good,1,delhi
,the transportation is also safe for girls,1,chennai
,educational institutes are good for girls and children so girls have good educational strength,1,mumbai
,the security for girls is not there and no respect for women,2,Pune
,the harassment and abuse for girls over here,2,kolkata
,the violence ganist women needs to be decreased and women has to be safegaurded,2,Pune
,it is good place for women to work and have a good career,1,kolkata
,it is secure life for women and also leading good life,1,mumbai
,the happy atmosphere and supportive attitude for women which provides strength to live here,1,delhi
,women can work so socially here,1,chennai
,there is no gender discrimination here all are given equal right and women are respected for their work,1,delhi
,the transport and educational facilities are good,1,mumbai
,the security for girls exist,1,kolkata
,the women are facing lot of trobles here,2,chennai
,the women are in need of so much of security here and lot of difficulties,2,Pune
,miseries for women still exist,2,kolkata
,troubles for girls is also increasing,2,mumbai
,people are fare enough and women are respected in the locality ,1,chennai
,the worst behaviour and attitude of people for women,2,delhi
,the bad nature of youth and iresponsible behaviour of them for women needs to be rectified,2,kolkata
,the awesome life for girls and children,1,Pune
,"women are facing lot of difficulties in all the aspects such as work,transportation,shelter",2,mumbai
,girls and women are having safe life,1,chennai
,the happy life of people and support when facing any challenges for women,1,delhi
,the gender discrimination for women in this area,2,chennai
,the safety is not there for women in this society,2,mumbai
,violence is been increaing so women are facing so many problems,2,kolkata
,the work cukture is also bad needs to be changed,2,Pune
,the violence for women is not decreasing and lot of trouble,2,kolkata
,girls over there have secure life and people in the city are calm and responsible towards them,1,mumbai
, women have been harassed and donot have good life and the work culture is also not good,2,delhi
,In recent times city is being very harmful for girls as there is so much of abuse around them in the society,2,chennai
,the women here are respected and taken care of everything so there is no fear of harrasement here,1,Pune
,trust worthy people and women are also respected,1,Pune
,ofcourse city is risky and girls are facing lot of trouble,2,kolkata
,the trust for people has been increasing on youth and women are also respected for their work,1,mumbai
,in the recent times city is being very harmful for girls ,2,delhi
,in the city women are facing lot of trouble,2,chennai
,harmful life for women and girls,2,delhi
,people are weird and so women are facing lot of difficulties,2,mumbai
,it is considered safe and good in case ofworking culture and people are calm and hardworking in their life,1,kolkata
,the safety measures are taken and girls are happy in their life because all are protected and people are responsible,1,Pune
,the need of safety is not necessary beacause people have changed in good terms and they are behaving responsibily and girls are leading secure life,1,chennai
,miserable life for women and children,2,delhi
,terrible experence for womn in this city,2,chennai
,the secure life for girls here,1,mumbai
,safety measures for women and it is easy to lead life,1,kolkata
,girls have secure life here,1,Pune
,city life is very risky and harmful behaviour of youth against women,2,Pune
,women are facing lot of problems and negative attitude of people,2,delhi
,girls are facing lot of abuse and harassment,2,kolkata
,In recent times city is being very harmful for girls as there is so much of abuse around them in the society,2,mumbai
,people are harmful and youth is increasing its bad attitude toward girls,2,chennai
,harmful and toxic people around,2,delhi
,toxic and frustated people and always abusing girls,2,delhi
,harmless for women ,1,chennai
,city is very worst for women to lead,2,mumbai
,people are nasty and women donot have safety,2,kolkata
,people are having abusve behaviour,2,Pune
,people are fare enough towards women,1,Pune
,terrible behaviour aganist girls and children,2,mumbai
,women are facing lot of difficulties in their life,2,chennai
,in recent times city is becoming terrible and miserable for women,2,delhi
,people have weird behaviour and dirty attitude,2,kolkata
,girls do not have security,2,mumbai
,it is suked life where people are always abusing and commenting on other life,2,delhi
,it awesome to live and have a good work culture,1,chennai
,the bad environment and worst life style of people to lead and always unsupportive,2,kolkata
,the people are supportive and awesome to work with,1,Pune
,sucked behaviour and attitude towards women needs to be changed,2,delhi
,safe for girls and children,1,chennai
,terrible and miserable life for women,2,mumbai
,girls are facing lot of trouble and abuse here,2,delhi
,harmful behaviour of people for women and this has to be stoppped,2,kolkata
,few people very rich and donot follow any rules and treat women badly,2,Pune
,women are being threaned and violence against them,2,Pune
,toxic and disrespect nature of people toward girls and children,2,kolkata
,unnecessary abuse towards women,2,mumbai
,people are nasty and women are facing lot of trouble because of this,2,chennai
,city is very waste and people are also badly affected because of it women life has become miserable,2,delhi
,people around are here terrible and women are facing lot of abuse ,2,delhi
,women are strong and people are always supportive,1,mumbai
,people are fair enough ,1,chennai
, people are not so trustworthy to believe and the life over there is not relatable to others,2,kolkata
,the trust for people has been increasing on youth and women are also respected for their work,1,Pune
,the harassement is increasing and it need to be stopped,2,delhi
,the abuse for girls has ended and women are being respected,2,chennai
,the secure life for girls,1,mumbai
,people are fair enough and hard working,1,kolkata
,toxic people are more here so women are not safe,2,Pune
,women are not secured and lot of abuse here,2,kolkata
,the sucked behaviour of people in the city which makes more difficult to live there,2,mumbai
,the bad attitude against women and not so good life to live,2,chennai
,the bad environment and worst life style of people to lead and always unsupportive,2,delhi
,the good life for women to live and can lead happy life,1,delhi
,terrible and miserable life for women because people are toxic ,2,chennai
,people do not have good attitude and women are facing lot of problems,2,mumbai
,the nasty thinking of people against women has not changed and women are facing lot of trouble because of dirty attitude of people,2,kolkata
,the sucked behaviour of people in the city which makes more difficult to live there,2,Pune
,women are strong enough to handle the work pressures but people around them make it difficult to work being unsupportive and abusing and commenting them,2,delhi
,the work environment is good and secure for women,1,chennai
,the necessity of women exist in all the working fields and women are excelling in all the domains so they are becoming tough and facing all problems and succeding in it,1,mumbai
,women are in flying colors in all domains because people are so supportive and friendly,1,Pune
,in the area women are safe and sound good,1,chennai
,people are very bad and bad thinking and violence for women,2,Pune
,the women has become strong enough to face all the odds and excel in all fields because of the support of people around them and safe for work culture also,1,kolkata
,women do not secure life,2,delhi
,people are not fare and lot of abusement ,2,mumbai
,harmful nature of people so girls are facing lot of difficulties,2,chennai
,people are innocent and easygoing to cope all the things with ,1,kolkata
, life is miserable for girls because lot of harrasement in the areas where hostels exist,2,delhi
, has the trusty people to survive around and people help others to overcome their problems and have the happy life,1,Pune
, in recent times being dangerous for women and the life leading is difficult  here and childen are also facing lot of difficult times and need of security here,2,chennai
, harmless for women and children and good place  and lead a good life,1,Pune
, life is toxic and difficult and women donot have safety and crime rate is increasing in the city,2,mumbai
, harmless for women in the society and recent times it showing the incline in the city work culture and youth are also responsible  ,1,Pune
," There is no doubt that it is  unsafe for girls. Unsafe, harresment, Almost every girl who has been in this city has faced tough situations and I had heard a lotfrom my  friends",2,chennai
,people here lead great life and women are also safe here against all the abuse,1,delhi
,it is protecting girls from all the abuse and girls are leading safe life here,1,kolkata
,women are safe and secure,1,mumbai
,it is not safe for women in the locality,2,Pune
,women life has becone easy and happy because of support ,1,kolkata
,lot of violence and abuse all over here,2,chennai
,lot of misery and terrible experience here,2,delhi
,people are very harsh and cruel and women are facing lot of troubles,2,mumbai
,life us muserable and horrible for women,2,chennai
,people are threatening women and women are in hardships,2,delhi
,women life is not secure here,2,kolkata
,lot of abuse fir girls and children ,2,Pune
,women are safe abd happy,1,mumbai
,women life has become easy after people becoming responsible and understanding,1,delhi
,work environment is also easy and supportive,1,chennai
,wonen are beibg protected and feeling safe also every where here,1,kolkata
,joyful life of women in this area,1,Pune
,women are facing lot if bad experience and unsafe,2,mumbai
,women are being discriminated and unsecured life,2,kolkata
,girls do not gave safety,2,chennai
,women life is miserable due to lot of viokence,2,delhi
,girls and children are not safe,2,Pune
,women life has become difficult because of harsh behavior and circumstances around them,2,mumbai
,girls are not safe here,2,kolkata
,life has become difficult here fir women,2,Pune
,girls life has become easy because of rules implemented and people follow them,1,chennai
,women life is joyful and awesome here,1,delhi
,lot of talent in girls is emerging out in all fomain due to support in work environment ,1,mumbai
,women are leading happy and safe life,1,Pune
,the facilities available are also convenient and safe for women ,1,chennai
,the nasty thinking of people against women has not changed and women are facing lot of trouble because of dirty attitude of people,2,delhi
,the misery for women did not decrease,2,kolkata
,women are respected and protected against all problems,1,kolkata
,women are safe and secure,1,delhi
,women are leading safe and happy life ,1,chennai
,women facing lot of struggles and harassment ,2,mumbai
,women life is horrible here,2,Pune
,girls are facing lot of problem because of youth behavior ,2,Pune
,women are struggling for good work environment ,2,mumbai
,the abuse for girls has ended and women are being respected,1,delhi
,the good life for women to live and can lead happy life,1,chennai
,women are being threaned and violence against them,2,kolkata
,women life is miserable and terrible,2,delhi
,girls are not safe,2,mumbai
,women struggle are increasing due to harassment ,2,mumbai
,harmful behaviour of people towards women ,2,Pune
,children and girls are been disrespected and harassed,2,chennai
,women life is little better here,1,kolkata
,life is difficult for women because people attitude is bad,2,delhi
,women life hss become very difficult because of increasibg violence against them ,2,kolkata
, life is fine to lead for girls,1,mumbai
,women life has become worst due to youth,2,Pune
,women didnot have safety and lot of troubles here,2,delhi
,life is miserable and difficult for girls ,2,delhi
,women are facing lot if bad experience and unsafe,2,Pune
,lot of trouble for girls,2,kolkata
,city is risky for women,2,mumbai
,women are not respected and abused ,2,chennai
,life is difficult for women because people attitude is bad,2,kolkata
,no chance of good environment for girls even in work,2,delhi
,life is so toxic for women because there is no safety,2,mumbai
,poisonous city fir girls and children ,2,Pune
,life is okay to lead here,1,chennai
,women life is safe,1,mumbai
,lot of difficulties for girls,2,chennai
,transport facilities also safe for women,1,Pune
,rules are implented and safety is provided fir women,1,kolkata
,nasty people around makes life difficult ,2,delhi
,people around are waste so women has no safety,2,delhi
,life is easy to lead here for women,1,chennai
,work atmosphere is also goid for women,1,kolkata
,better place for girls to live safe,1,mumbai
,women life is joyful and awesome here,1,Pune
,good carrer options also exist which makes life littke essy for women,1,delhi
,women life is difficulties everyday ,2,mumbai
,no chance of good environment for girls even in work,2,chennai
,harmful people even in work environment ,2,kolkata
,women are facing lot of hardships and unsafe ,2,Pune
,lot of talent in girls is emerging out in all domain due to support in work environment ,1,delhi
,violence aganist girls,2,mumbai
,more difficulties for girl and children ,2,chennai
,no respect and only abuse for women,2,kolkata
,women are safe and have good life,1,Pune
,women life is easy and okay,1,Pune
,life for girls is so difficulty because lot of harassment ,2,kolkata
,women are not safe here,2,mumbai
,life for girls is so difficulty because lot of harassment ,2,delhi
,ofcoursr city is risky for girls,2,chennai
,life is okay to lead here,1,mumbai
,life is so toxic for women because there is no safety,2,delhi
,women are unsafe here,2,kolkata
,life is difficult for women because people attitude is bad,2,chennai
,life for girls is so difficulty because lot of harassment ,2,Pune
,women are not respected and abused ,2,mumbai
,women are leading happy and safe life,1,chennai
,life for girls is so difficulty because lot of harassment ,2,delhi
,the misery for women did not decrease,2,kolkata
,women life is in trouble here,2,Pune
,the nasty thinking of people against women has not changed and women are facing lot of trouble because of dirty attitude of people,2,mumbai
,the good  life for women and safe for women,1,delhi
,women are leading safe and happy life ,1,chennai
,wonen are facing lot of strugglesdye to violebce aganust them,2,kolkata
,the great lufe fir girls here,1,Pune
,good behavior of everyine towards giros and children ,1,mumbai
, nice work culture fir girls,1,delhi
,better place for girls to live safe,1,chennai
,not a goid environment for women,2,kolkata
,women have bad experiences here,2,Pune
,unsafe environment for women,2,mumbai
,nasty people around makes life difficult ,2,chennai
,safe for  girls,1,delhi
,good work atmosphere and better living area,1,kolkata
,the good life for women to live and can lead happy life,1,Pune
,the best place for girls to live,1,mumbai
,the nice and safe environment ,1,chennai
,the nasty thinking of people against women has not changed and women are facing lot of trouble because of dirty attitude of people,2,delhi
,safe and secure life for girls,1,Pune
,good environment for girls and children ,1,kolkata
,the best place for girls to live,1,mumbai
,the worst behavior of youth  towards girls,2,delhi
,the best place for girls to live,1,kolkata
,the abuse has been increasing ,2,chennai
,women are unsafe and security doesn't exist,2,Pune
,women are unsafe ,2,mumbai
,girls need protection because violence has not decreaded,2,delhi
,life is tragedy here for women,2,chennai
,bad experience for girl ,2,kolkata
,unnecessary comments and harassment aganist women,2,Pune
,worst behaviour of people towards girls,2,delhi
,good life abd safe environment for women,1,mumbai
,nice and secure life fir girls,1,kolkata
,no abuse and no harassment for girls,1,Pune
,everything is goid and safe here,1,Pune
,Crime against women on rise.,2,Delhi
,New safety measures are being implemented.,1,Chennai
,93% of perpetrators in women abuse are their relatives or known individuals.,2,Pune
,Constitution kept itself on introducing new laws to reduce crime rate against woman .,1,Chennai
,On in 5 girls and one in 20 boys is a victim of sexual harassement and abuse.,2,Mumbai
,Immediate response to women safety issues.,1,Kolkata
,The hard truth is 88 rape cases in a day.,2,Delhi
,GOI facing failures to take measures for the safety measures of women.,2,Chennai
,Men are with partiarchal mindset that they are superior than women.,2,Mumbai
,Multiple acts are being implemented for the favour of women.,1,Delhi
,Female citizen could have a peaceful life.,1,Pune
,Women have secure life than compared to rural areas and other cities.,1,Chennai
,"Irrespective of caste,class,religion,race women are treated as second raate citizens!",2,Kolkata
,Women could face many problems at work area.,2,Mumbai
,Woman more likely to experience violence from a partner than a stranger.,2,Delhi
,Harassements are on rise on way from workplace to home.,2,Pune
,Rise in sexual abuse of women and even minor girls.,2,Mumbai
,Women are being respected.,1,Chennai
,Proper security immediate response is there for women hostels.,1,Kolkata
,Building more hostels for girls and working women to help them provide Proper sanitisation and services.,1,Mumbai
,Increasing in number of self protection training centres.,1,Delhi
,Inappropriate recordings of girls in public places.,2,Delhi
,Pranks on girls are on rise by youtubers.,2,Delhi
,Huge source for women to get their personal essetials.,1,Kolkata
,Women have their rights of physical appearence.,1,Pune
,Women can get more opportunities for their self employement.,1,Pune
,Women can have protection at their workplaces.,1,Kolkata
,In this city respect towards women is more.,1,Kolkata
,women harrasment in this ares is more.,2,Delhi
,Gender descrimination might be observed less in this area.,1,Mumbai
,women are treated good.,1,Kolkata
,Proper implementing of required measures for wmen protecton are implemented.,1,Pune
,Girls can live a free life in this secure environment.,1,Pune
,Women face disrespect in this region.,2,Delhi
,24/7 Helpline and Safety Apps with speedy response for women.,1,Delhi
,Speedy Justice for women.,1,Mumbai
,Trafficking of women is still being rise.,2,Chennai
,Violence against women related to accusations of witchcraft,2,Delhi
,womens are respected in this area,1,Chennai
,girls and women face nutritional discrimination,2,Pune
,Local authorities are always trying to provide their best service to women.,1,Chennai
,Women have also been sexually assaulted while urinating in fields.,2,Delhi
,Each place is covered by security cameras.,1,Pune
,Women lives are a bit stressful for social discrimination.,2,Mumbai
,Society is not so trust worthy for women.,2,Chennai
,Women has enoug sources to get help when they are in troubles.,1,Kolkata
,Justice for women is getting late,2,Mumbai
,Women have support from their local authorities.,1,Delhi
,Public places have Toilets for women privacy.,1,Pune
,women trafficking is low in this area,1,Delhi
,Workculture could be a little safe for women.,1,Kolkata
,Women were being respected.,1,Pune
,treating women in indecent ways,2,Pune
,girl and womens are treated equally with men,1,Delhi
,crime aganist womens and girl are getting decreased,1,Kolkata
,womens are not having secured life over here,2,Delhi
,womens are not treated good,2,Mumbai
,Harassements on women are getting decreased,1,Kolkata
,womens are treated nice in our locality,1,Pune
,more restrictions for women about their attitudde,2,Pune
,gender descrimination is low,1,Delhi
,Safety ensured at public places for women.,1,Delhi
,High Perfection by police to prevent women from abusing.,1,Mumbai
,Continuous researches on developing more security for women because women facing lot of abuses and violence.,2,Chennai
,Domestic violence can be seen at some regions.,2,Delhi
,Irrespictive acts done by youngsters to women are on rise.,2,Delhi
,womens are free to live as they like to live,1,Pune
,Cheating on the name of love observed more in this city.,2,Chennai
,Workculture is good in this area,1,Pune
,Forcedly making women addict to drugs.,2,Delhi
,Justice for women is somewhat fast than before,1,Kolkata
,Western culture leading to unfaithful acts against women.,2,Mumbai
,Restrictions for women about their appearence and attitudde.,2,Chennai
,locality is better than before about saftey of women,1,Pune
,saftey is not ensured,2,Chennai
,society is trust worthy,1,Mumbai
,crime aganist womens and girl are getting high,2,Delhi
,24/7 monitoring in public areas ,1,Chennai
,low protection for women,2,Pune
,saftey for women are getting ensured than before,1,Kolkata
,criminal activities are more,2,Delhi
,womens are not being respected in their locality,2,Pune
,domestic violence is low at some regions.,1,Chennai
,criminals in women harrasment are not punished in proper ways,2,Delhi
,workplaces are women friendly,1,Chennai
,society is not trust worthy about saftey,2,Mumbai
,gender descrimination is high in this locality,2,Pune
,freedom for women is high,1,Kolkata
,women and girls are facing problem ,2,Pune
,women are frcibly getting involved in criminal activities,2,Delhi
,people not faithful toward women in some locality,2,Mumbai
,"irrespective of caste,class,religion,race women are treated nice",1,Chennai
,criminal activities are getting better than before,2,Delhi
,women are getting harrased in work areas,2,Pune
, there will be no restrictions for women about their attitudde  and appearence,1,Chennai
,criminal activities are low,1,Chennai
,workplaces are not friendly,2,Mumbai
,womens are in high cadders in some localities,1,Kolkata
,womens are treated equally with men,1,Kolkata
,people thinking about women are getting better,1,Pune
,city officials have agreed to build hundreds of public toilets for women ,1,Mumbai
,Men are with bad mindset that they are superior than women.,2,Delhi
,Acts are being implemented for the favour of women.,1,Chennai
,Female citizen have a peaceful life over here,1,Kolkata
,Women have secure life ,1,Chennai
,Irrespective of caste women are treated as second raate citizen,1,Kolkata
,Women could face problems at work place,2,Pune
,Woman are more likely to be experienced violence from a partner than a stranger.,2,Delhi
,Building more hostels for girls and working women,1,Mumbai
,Rise in sexual abuse of women,2,Kolkata
,Women are respected more ,1,Chennai
,Proper security immediate response for women,1,Mumbai
,Harassements are on rise in localities,2,Delhi
,Increasing in number of self protection training centres for women safety,1,Pune
,Inappropriate vedio capturing of girls in public places.,2,Pune
,with respect to caste women are treated low,2,Delhi
,"We have tools that help empower women to be safe online: mute, block, report. ",1,Kolkata
,Western culture lead to unfaithful acts against women,2,Delhi
,Restrictions for women about their appearence and attitudde are high,2,Pune
,locality is getting better about saftey of women,1,Kolkata
,crime rate in this area is more,2,Delhi
,women are forced to involve in crime activities,2,Pune
,most of women are well known in self protection ,1,Chennai
